date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2018-11-14,19.03,21.64,16.79,86.33,3.91,0.84,21.73
2018-11-15,19.53,24.08,15.16,81.86,3.54,1.26,17.25
2018-11-16,19.92,24.91,15.24,80.2,0.66,1.75,20.55
2018-11-17,21.03,26.7,15.66,74.6,1.99,1.53,21.03
2018-11-18,21.1,26.39,16.29,76.5,7.66,1.25,13.48
2018-11-19,20.97,25.41,16.89,77.29,1.72,1.14,23.95
2018-11-20,20.28,25.77,15.76,79.45,3.77,1.36,16.17
2018-11-21,20.73,27.22,15.99,78.12,1.84,1.38,16.95
2018-11-22,20.4,26.34,15.6,79.32,10.95,1.15,15.81
2018-11-23,20.97,26.24,17.34,77.26,4.76,1.2,15.36
2018-11-24,19.36,22.22,16.8,84.11,2.23,1.18,5.86
2018-11-25,19.92,24.98,15.77,82.38,4.82,1.61,20.42
2018-11-26,20.31,24.95,16.82,79.64,2.27,1.58,18.84
2018-11-27,20.64,25.58,17.08,79.18,2.03,1.72,16.49
2018-11-28,19.73,23.56,17.05,81.34,11.61,1.32,19.38
2018-11-29,19.69,23.41,16.01,81.29,1.42,1.07,18.4
2018-11-30,19.68,23.45,16.78,78.69,3.11,1.67,17.93
2018-12-01,20.19,24.78,16.62,78.15,1.22,1.34,12.29
2018-12-02,20.06,24.01,16.37,76.38,2.92,1.06,21.11
2018-12-03,19.85,24.39,15.29,77.5,1.51,0.97,16.24
2018-12-04,20.39,26.45,15.43,78.08,1.61,0.99,16.17
2018-12-05,19.94,25.69,15.37,82.12,1.63,1.28,15.11
2018-12-06,19.2,24.57,15.94,79.67,0.55,1.09,19.37
2018-12-07,19.33,24.19,14.12,78.53,1.43,0.92,17.8
2018-12-08,18.27,22.19,15.71,87.08,25.79,1.17,10.68
2018-12-09,19.2,25.1,14.83,83.07,8.6,1.55,10.81
2018-12-10,19.43,23.59,16.76,82.73,20.94,1.29,10.97
2018-12-11,18.65,21.98,15.93,83.85,14.46,0.76,10.86
2018-12-12,19.15,23.04,15.08,82.49,8.92,0.77,15.01
2018-12-13,19.25,24.05,15.82,84.95,7.11,0.64,13.08
2018-12-14,19.79,24.89,15.37,81.59,1.22,1.13,21.86
2018-12-15,20.37,25.44,16.23,81.97,2.85,1.13,14.62
2018-12-16,20.14,25.53,15.59,83.13,4.85,0.85,21.21
2018-12-17,20.24,23.76,17.19,83.47,24.2,0.77,19.85
2018-12-18,20.63,25.76,16.35,80.47,1.93,1.27,19.15
2018-12-19,20.8,26.08,16.08,80.64,3.83,0.95,15.01
2018-12-20,19.77,23.04,17.4,83.71,2.07,0.79,14.71
2018-12-21,20.28,24.96,16.01,80.2,3.24,1.02,15.06
2018-12-22,20.61,25.34,15.77,77.76,1.0,1.0,14.01
2018-12-23,20.63,25.79,15.88,78.88,1.76,1.17,13.84
2018-12-24,20.35,25.41,16.96,80.97,2.25,1.4,12.0
2018-12-25,20.29,25.37,16.57,78.06,4.88,1.45,17.63
2018-12-26,20.39,26.53,14.07,75.84,0.09,1.44,23.43
2018-12-27,20.62,26.22,14.24,75.74,1.59,1.35,23.0
2018-12-28,20.29,25.92,14.93,77.61,2.91,1.39,15.94
2018-12-29,20.37,25.96,14.35,77.39,2.49,1.36,19.95
2018-12-30,19.35,23.76,15.99,85.33,6.53,1.19,18.89
2018-12-31,18.66,24.05,15.07,83.02,7.31,1.12,14.96
2019-01-01,19.03,24.18,15.53,84.79,12.28,1.29,19.36
2019-01-02,21.0,27.67,14.77,76.57,0.75,1.33,25.25
2019-01-03,21.03,27.4,15.26,77.0,0.36,1.55,19.98
2019-01-04,21.0,26.95,14.86,78.73,2.16,1.15,19.22
2019-01-05,20.55,25.42,17.73,83.82,8.73,1.34,19.93
2019-01-06,21.03,26.67,16.44,76.7,1.01,1.21,19.7
2019-01-07,21.33,26.59,16.2,65.98,0.82,1.39,14.79
2019-01-08,20.65,26.9,16.59,70.31,2.86,1.59,18.97
2019-01-09,20.39,26.65,14.53,72.23,0.48,1.42,22.92
2019-01-10,20.46,26.8,14.38,67.39,0.58,1.26,19.5
2019-01-11,21.26,27.62,15.3,72.62,0.49,1.41,18.17
2019-01-12,20.4,26.17,15.61,77.6,1.98,1.31,16.87
2019-01-13,21.23,27.87,15.19,73.91,0.27,1.51,22.64
2019-01-14,21.38,27.3,16.16,74.09,0.45,1.0,19.73
2019-01-15,18.54,22.2,15.0,84.61,7.47,1.11,15.77
2019-01-16,18.15,22.7,14.41,87.25,4.25,1.24,14.58
2019-01-17,20.66,26.12,15.22,74.4,3.35,1.13,19.03
2019-01-18,20.45,24.51,16.09,77.41,7.79,0.76,16.0
2019-01-19,20.18,24.23,15.64,79.47,7.69,1.03,18.07
2019-01-20,21.03,26.58,16.28,77.02,10.06,1.09,18.87
2019-01-21,19.73,21.96,18.01,82.45,15.27,0.97,17.39
2019-01-22,21.29,25.92,16.42,70.76,0.09,0.83,19.81
2019-01-23,21.54,26.62,16.55,73.62,1.01,0.94,19.71
2019-01-24,20.99,25.68,17.78,78.01,4.09,1.16,16.87
2019-01-25,19.82,23.89,15.98,81.0,2.27,0.98,18.06
2019-01-26,20.1,24.75,14.78,80.36,1.7,1.27,22.27
2019-01-27,21.4,27.14,14.76,73.22,0.94,1.27,25.5
2019-01-28,21.35,27.34,16.15,76.3,0.71,1.18,24.98
2019-01-29,21.43,26.67,16.71,78.92,2.5,1.26,14.77
2019-01-30,20.57,25.21,15.65,76.0,2.7,1.47,19.84
2019-01-31,21.19,28.09,14.31,72.23,0.51,1.57,25.44
2019-02-01,21.88,27.83,17.1,73.58,2.35,1.65,23.47
2019-02-02,21.32,26.59,15.76,77.15,1.65,1.23,16.24
2019-02-03,22.14,28.13,16.77,70.45,0.03,1.13,21.31
2019-02-04,22.22,28.66,15.4,71.06,0.36,1.18,22.14
2019-02-05,21.33,26.06,17.24,78.39,2.83,1.16,14.37
2019-02-06,21.19,25.86,16.72,76.8,4.71,1.01,17.82
2019-02-07,20.37,25.07,15.81,83.4,3.53,1.35,17.56
2019-02-08,20.55,25.41,17.02,82.18,5.68,1.09,22.58
2019-02-09,21.46,26.89,16.36,77.35,2.14,0.97,21.55
2019-02-10,22.1,27.03,17.43,73.81,0.93,0.99,6.74
2019-02-11,21.43,27.17,16.39,76.66,0.32,1.4,14.34
2019-02-12,21.87,28.51,15.89,77.37,0.39,1.58,21.89
2019-02-13,22.03,28.69,16.25,73.7,0.06,1.77,22.52
2019-02-14,21.71,28.69,14.81,69.02,0.14,1.79,21.31
2019-02-15,22.25,29.4,15.09,68.61,0.16,1.56,19.1
2019-02-16,22.19,28.79,15.91,70.98,0.35,1.5,16.47
2019-02-17,21.51,27.77,15.81,74.75,4.83,1.3,11.93
2019-02-18,20.45,25.01,16.76,77.05,0.45,1.1,10.96
2019-02-19,21.48,28.0,16.27,73.27,0.39,1.53,20.62
2019-02-20,20.3,24.41,16.84,77.39,0.84,1.26,9.94
2019-02-21,19.8,24.88,16.54,84.54,10.94,1.64,16.37
2019-02-22,20.21,24.49,16.87,82.65,12.33,1.63,14.77
2019-02-23,18.17,22.35,15.76,87.05,6.58,1.56,15.02
2019-02-24,18.93,23.47,15.59,81.3,2.89,1.23,16.94
2019-02-25,19.49,23.82,14.62,78.3,1.4,1.13,14.4
2019-02-26,21.23,27.58,14.77,75.23,0.18,1.29,25.98
2019-02-27,20.81,26.24,15.74,79.66,0.88,1.29,24.89
2019-02-28,20.95,26.61,15.59,74.96,0.44,1.12,23.36
2019-03-01,21.92,28.56,16.28,70.0,0.22,1.25,18.04
2019-03-02,21.25,27.07,16.25,76.83,3.97,1.13,13.18
2019-03-03,20.91,26.16,16.65,75.37,2.36,1.02,18.48
2019-03-04,20.61,26.15,16.23,76.45,0.71,1.23,17.71
2019-03-05,20.33,24.57,16.02,75.29,1.98,1.12,18.77
2019-03-06,19.49,24.02,15.52,82.35,3.94,0.97,10.34
2019-03-07,20.47,27.14,15.25,75.42,1.48,1.18,20.77
2019-03-08,21.17,26.98,16.37,73.34,1.68,1.39,21.56
2019-03-09,21.2,27.61,15.0,74.64,0.32,1.26,23.37
2019-03-10,21.14,27.48,15.28,75.46,6.37,1.1,14.82
2019-03-11,22.24,28.05,15.89,69.85,3.77,0.85,25.59
2019-03-12,21.88,27.92,15.7,70.51,1.64,1.32,20.69
2019-03-13,21.56,28.3,15.33,74.64,4.08,1.48,20.69
2019-03-14,21.36,27.47,16.1,77.3,3.7,1.64,18.62
2019-03-15,21.48,28.34,15.16,75.54,2.21,1.67,24.14
2019-03-16,21.16,25.92,15.98,76.79,10.94,1.46,18.56
2019-03-17,21.61,27.23,16.11,74.56,1.37,1.17,18.28
2019-03-18,21.62,27.76,16.03,76.57,0.43,1.29,21.96
2019-03-19,21.75,27.32,15.72,75.52,0.56,1.46,23.31
2019-03-20,22.45,27.71,16.82,69.63,0.7,1.09,20.74
2019-03-21,22.05,28.62,16.09,72.5,0.67,1.45,17.19
2019-03-22,21.3,27.35,15.78,78.45,2.29,1.54,23.61
2019-03-23,21.52,26.87,16.2,76.45,1.68,1.45,20.58
2019-03-24,20.95,25.4,17.09,78.94,2.68,1.25,14.24
2019-03-25,21.37,27.78,15.55,75.85,2.11,1.37,16.41
2019-03-26,21.73,27.5,15.88,73.85,2.45,1.47,17.87
2019-03-27,21.83,26.86,17.33,76.6,2.9,1.35,13.72
2019-03-28,19.59,22.33,16.85,87.92,3.06,1.31,8.54
2019-03-29,19.78,25.13,15.46,80.46,1.48,0.94,25.47
2019-03-30,20.76,26.46,14.98,77.22,24.04,0.95,20.79
2019-03-31,20.32,25.24,16.91,81.53,13.16,1.56,21.21
2019-04-01,21.14,27.84,15.39,77.56,2.19,1.14,20.11
2019-04-02,19.38,24.52,15.91,87.55,11.0,1.51,18.51
2019-04-03,20.84,27.93,14.68,77.77,1.11,1.34,23.35
2019-04-04,20.16,24.21,16.97,84.9,3.23,1.55,13.5
2019-04-05,20.12,24.77,16.78,85.57,2.2,1.92,20.15
2019-04-06,21.52,27.48,17.01,80.13,0.69,2.02,22.28
2019-04-07,21.59,28.31,15.93,76.21,0.06,2.0,22.18
2019-04-08,21.43,27.74,16.36,78.94,0.89,1.52,19.64
2019-04-09,21.04,26.4,16.56,81.89,3.54,1.31,17.33
2019-04-10,19.83,23.91,16.84,84.59,2.82,0.95,19.74
2019-04-11,21.0,27.58,15.54,78.38,0.5,1.38,22.07
2019-04-12,19.87,24.29,15.91,84.8,7.15,1.43,11.36
2019-04-13,20.82,26.28,15.8,81.74,0.91,1.46,20.41
2019-04-14,20.52,24.01,16.7,80.06,9.98,0.75,15.09
2019-04-15,20.71,26.39,17.22,81.98,2.58,1.2,18.92
2019-04-16,20.7,25.92,16.19,83.15,7.07,1.47,20.98
2019-04-17,20.5,26.46,15.47,80.56,1.07,1.75,21.9
2019-04-18,20.42,26.62,14.74,79.19,1.83,2.04,22.85
2019-04-19,20.74,27.59,15.11,78.96,0.3,2.21,20.56
2019-04-20,21.02,27.35,14.81,78.91,2.99,1.66,20.0
2019-04-21,20.05,23.86,16.17,83.14,3.15,1.32,13.69
2019-04-22,19.39,23.87,15.61,86.19,12.08,1.08,9.48
2019-04-23,19.64,24.56,15.56,84.97,6.33,1.41,21.75
2019-04-24,20.61,25.28,15.9,78.51,5.35,0.85,20.69
2019-04-25,22.06,27.16,17.71,73.37,14.16,0.62,16.16
2019-04-26,19.56,23.11,16.93,84.23,6.98,1.81,10.11
2019-04-27,20.11,25.63,16.05,82.78,4.66,0.9,14.18
2019-04-28,21.54,27.47,16.92,77.65,8.16,0.79,20.03
2019-04-29,21.05,26.55,17.16,83.52,2.57,1.29,12.03
2019-04-30,20.36,24.36,17.46,86.99,1.45,1.5,16.27
2019-05-01,19.5,22.03,17.45,91.71,3.26,1.24,13.45
2019-05-02,20.8,26.8,15.58,81.51,1.32,1.21,19.25
2019-05-03,21.0,25.81,17.17,82.83,0.68,1.36,19.33
2019-05-04,20.96,26.58,16.47,82.68,0.67,1.78,19.26
2019-05-05,20.0,24.94,16.65,85.68,1.05,2.15,15.81
2019-05-06,20.2,25.69,15.7,83.26,5.45,2.11,19.2
2019-05-07,20.35,25.57,17.26,83.25,5.08,2.44,14.02
2019-05-08,19.59,24.97,16.31,84.41,3.91,1.9,17.13
2019-05-09,19.97,25.62,15.64,83.72,1.57,1.68,18.54
2019-05-10,20.03,24.68,16.98,85.59,2.29,1.75,11.84
2019-05-11,19.44,24.8,16.11,79.34,1.3,2.66,16.21
2019-05-12,19.68,26.09,13.92,78.55,0.19,1.96,15.45
2019-05-13,20.05,25.89,15.48,81.89,0.67,2.1,13.74
2019-05-14,20.35,25.57,16.54,81.65,0.96,2.08,17.92
